Procurement Ref. No.,Lot No.,Procurement Title,Procuring Entity,Procurement Category,Market Approach,Source,Submission Deadline
HUU-ICB-W-0058-2017-BID,Lot:  1,Procurement of Waste water Treatment Pla,Hawassa University,Works,International,Federal Government,"Apr 16, 2025, 4:00:00 PM"
KUE-NCB-G-0036-2017-BID,Lot:  1,Procurement of Interactive Display (boar,Kotebe University of Education,Goods,National,Federal Government,"Apr 11, 2025, 2:00:00 PM"
ECC-NCB-NC-0113-2016-BID,Lot:  1,የተሸከርካሪ ጥገና አገልግሎት ግዥ,Ethiopian Customs Commission,NonConsultancyServices,National,Federal Government,"Apr 5, 2025, 2:00:00 PM"
HoPR-NCB-G-0064-2017-BID,Lot:  1,Procurement Of Shed for Car Parking/car,Houses of Peoples Representative,Goods,National,Federal Government,"Apr 16, 2025, 1:00:00 PM"
,,,,,,,
PPS-ICB-G-0048-2017-BID,Lot:  1,Procurement of Laptop computers core i5,Federal Public Procurement Service,Goods,International,Federal Government,"May 2, 2025, 1:00:00 PM"
DDU-NCB-G-0078-2017-BID,Lot:  1,Lot 60 procurement of Electronics,Dire Dawa University,Goods,National,Federal Government,"Apr 13, 2025, 1:00:00 PM"
PSI-NCB-NC-0025-2017-BID,Lot:  1,Procurement of VCR (Board) Room Licenses,Policy Study Institute,NonConsultancyServices,National,Federal Government,"Apr 12, 2025, 1:00:00 PM"
MAU-NCB-NC-0057-2017-BID,Lot:  1,ዳብል ካፕ መኪና ኪራይ አገልግሎት ግዥ,Mekidelamba University,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 10:00:00 AM"
PSI-NCB-NC-0019-2017-BID,Lot:  1,Procurement of Milk Rent Service For One,Policy Study Institute,NonConsultancyServices,National,Federal Government,"Apr 30, 2025, 10:00:00 AM"
PSI-NCB-NC-0022-2017-BID,Lot:  1,Procurement of Audit Service For Three Y,Policy Study Institute,NonConsultancyServices,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
EPSA-NCB-C-0089-2017-BID,Lot:  1,Interior Design and Consulting Services,Ethiopia Pharmaceutical Supplies Service,ConsultancyServices,National,Federal Government,"Apr 17, 2025, 1:00:00 PM"
ECTA-NCB-G-0037-2017-BID,Lot:  1,ደረጃውን የጠበቀ መጋረጃ,Ethiopian Coffee and Tea Authority,Goods,National,Federal Government,"Apr 12, 2025, 12:00:00 PM"
EMI-NCB-G-0020-2017-BID,Lot:  1,Lot-1 Procurment of Uniform Cloth,Ethiopian meteorology institute,Goods,National,Federal Government,"Apr 2, 2025, 10:00:00 AM"
ECAA-NCB-G-0048-2017-BID,Lot:  1,Procurement of Silent Diesel Generator,Ethiopian Civil Aviation Authority,Goods,National,Federal Government,"Apr 14, 2025, 10:00:00 AM"
,,,,,,,
PPS-ICB-G-0048-2017-BID,Lot:  1,Procurement of Laptop computers core i5,Federal Public Procurement Service,Goods,International,Federal Government,"May 2, 2025, 1:00:00 PM"
DDU-NCB-G-0078-2017-BID,Lot:  1,Lot 60 procurement of Electronics,Dire Dawa University,Goods,National,Federal Government,"Apr 13, 2025, 1:00:00 PM"
PSI-NCB-NC-0025-2017-BID,Lot:  1,Procurement of VCR (Board) Room Licenses,Policy Study Institute,NonConsultancyServices,National,Federal Government,"Apr 12, 2025, 1:00:00 PM"
MAU-NCB-NC-0057-2017-BID,Lot:  1,ዳብል ካፕ መኪና ኪራይ አገልግሎት ግዥ,Mekidelamba University,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 10:00:00 AM"
PSI-NCB-NC-0019-2017-BID,Lot:  1,Procurement of Milk Rent Service For One,Policy Study Institute,NonConsultancyServices,National,Federal Government,"Apr 30, 2025, 10:00:00 AM"
PSI-NCB-NC-0022-2017-BID,Lot:  1,Procurement of Audit Service For Three Y,Policy Study Institute,NonConsultancyServices,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
EPSA-NCB-C-0089-2017-BID,Lot:  1,Interior Design and Consulting Services,Ethiopia Pharmaceutical Supplies Service,ConsultancyServices,National,Federal Government,"Apr 17, 2025, 1:00:00 PM"
ECTA-NCB-G-0037-2017-BID,Lot:  1,ደረጃውን የጠበቀ መጋረጃ,Ethiopian Coffee and Tea Authority,Goods,National,Federal Government,"Apr 12, 2025, 12:00:00 PM"
EMI-NCB-G-0020-2017-BID,Lot:  1,Lot-1 Procurment of Uniform Cloth,Ethiopian meteorology institute,Goods,National,Federal Government,"Apr 2, 2025, 10:00:00 AM"
ECAA-NCB-G-0048-2017-BID,Lot:  1,Procurement of Silent Diesel Generator,Ethiopian Civil Aviation Authority,Goods,National,Federal Government,"Apr 14, 2025, 10:00:00 AM"
,,,,,,,
FPC-NCB-G-0066-2017-BID,Lot:  1,Procurement of IT and electronics equipm,Federal Prisoners Commission,Goods,National,Federal Government,"Apr 12, 2025, 5:00:00 PM"
WKU-NCB-G-0104-2017-BID,Lot:  1,LOT -400  Procurement of Car tier (የመኪና,Wolkite University,Goods,National,Federal Government,"Apr 12, 2025, 10:00:00 AM"
AHI-NCB-G-0009-2017-BID,Lot:  1,LOT 0001 PROCUREMENT OF PASTERIZED MILK,Animal Health Institute,Goods,National,Federal Government,"Apr 3, 2025, 10:00:00 AM"
AAU-NCB-G-0056-2017-BID,Lot:  1,lot-3  Procurement of  stationery items,Addis Ababa University,Goods,National,Federal Government,"Apr 12, 2025, 10:00:00 AM"
EWCA-NCB-NC-0020-2017-BID,Lot:  1,Lot :29 ባህላዊ ሬስቶራንት አገልግሎት አዲስ አበባ ከተማ,Ethiopian Wildlife Conservation Authorit,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 2:00:00 PM"
AMSH-NCB-G-0068-2017-BID,Lot:  1,የ ጉልበት ስራ አገልግሎት ግዢ  ›››,Amanuel Mental Specialized Hospital,Goods,National,Federal Government,"Apr 2, 2025, 10:00:00 AM"
GU-NCB-W-0079-2017-BID,Lot:  1,L0T 107 SUPPLY OF MINING AND ELECTRICAL,Gambella University,Works,National,Federal Government,"Mar 28, 2026, 10:00:00 AM"
LDI-NCB-NC-0094-2017-BID,Lot:  1,የኮድ 4-13249 ኮስትር ባስ ጠቅላላ የሞተር እድሳት የጥገና,Livestock Development Institute,NonConsultancyServices,National,Federal Government,"Apr 12, 2025, 5:00:00 PM"
MWU-NCB-G-0147-2017-PUR,Lot:  1,የመደወላቡ ዩኒቨርሲቲ ጎባ ሆስፒታል ለ APTS (የመድሀኒቶች የ,Madda Walabu University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
EFDA-NCB-W-0016-2017-BID,Lot:  1,Procurement of Renovation work for EFDA,Ethiopian Food and Drug Authority,Works,National,Federal Government,"Apr 17, 2025, 10:00:00 AM"
,,,,,,,
